areaId,ms_x,ms_y,RU5,RU6,RU9,RU11,RU12
1,-7.77217,5.3276,-37.614,-65.2872,-250,-250,-250
1,-7.27217,5.3276,-46.3097,-62.3738,-250,-250,-250
1,-6.77217,5.3276,-40.9076,-57.8869,-250,-250,-250
1,-6.27217,5.3276,-37.0689,-54.9178,-250,-135.489,-250
1,-5.77217,5.3276,-32.2058,-63.3047,-250,-135.873,-250
1,-5.27217,5.3276,-33.361,-64.2255,-122.845,-131.056,-250
1,-4.77217,5.3276,-28.8354,-55.0525,-112.25,-112.054,-250
1,-4.27217,5.3276,-44.6841,-54.0371,-97.4951,-102.954,-250
1,-3.77217,5.3276,-29.5283,-66.683,-99.8419,-109.765,-250
1,-3.27217,5.3276,-30.5199,-52.9421,-91.3998,-98.3417,-250
1,-2.77217,5.3276,-37.2792,-56.1733,-100.527,-101.059,-250
1,-2.27217,5.3276,-23.1791,-63.7788,-115.348,-105.568,-250
1,-1.77217,5.3276,-24.894,-57.8574,-108.446,-112.653,-250
1,-1.27217,5.3276,-25.7256,-51.6693,-105.878,-106.928,-250
1,-0.772169,5.3276,-31.2899,-46.9595,-90.5354,-100.214,-250
1,-0.272169,5.3276,-24.8505,-36.108,-91.6985,-96.3556,-250
1,-7.77217,5.8276,-27.1098,-59.6304,-250,-250,-250
1,-7.27217,5.8276,-30.2353,-66.1695,-250,-250,-250
1,-6.77217,5.8276,-38.8475,-72.9037,-250,-250,-250
1,-6.27217,5.8276,-37.0994,-60.4408,-250,-135.351,-250
1,-5.77217,5.8276,-28.2831,-56.466,-250,-135.733,-250
1,-5.27217,5.8276,-30.3626,-59.1531,-125.317,-133.645,-250
1,-4.77217,5.8276,-29.6189,-66.7322,-108.945,-115.799,-250
1,-4.27217,5.8276,-28.2052,-58.9895,-100.1,-103.165,-250
1,-3.77217,5.8276,-24.8305,-60.0397,-103.532,-107.994,-250
1,-3.27217,5.8276,-32.7836,-63.0378,-95.2328,-103.499,-250
1,-2.77217,5.8276,-25.659,-75.4678,-105.965,-107.147,-250
1,-2.27217,5.8276,-25.2225,-52.4751,-102.842,-101.512,-250
1,-1.77217,5.8276,-37.5715,-47.9398,-113.896,-112.721,-250
1,-1.27217,5.8276,-29.1157,-48.0053,-106.612,-106.685,-250
1,-0.772169,5.8276,-34.1799,-44.729,-89.4178,-101.23,-250
1,-0.272169,5.8276,-26.6472,-49.7832,-83.511,-91.9234,-250
1,-7.77217,6.3276,-30.9456,-58.015,-250,-250,-250
1,-7.27217,6.3276,-26.1492,-79.5583,-250,-250,-250
1,-6.77217,6.3276,-30.6522,-61.16,-250,-250,-250
1,-6.27217,6.3276,-34.7201,-59.7277,-250,-135.213,-250
1,-5.77217,6.3276,-28.8772,-58.6825,-250,-135.592,-250
1,-5.27217,6.3276,-31.7985,-54.367,-125.083,-147.747,-250
1,-4.77217,6.3276,-43.4682,-60.1524,-108.169,-119.77,-250
1,-4.27217,6.3276,-29.9957,-54.7741,-105.757,-114.857,-250
1,-3.77217,6.3276,-29.1475,-53.6458,-92.5789,-99.0786,-250
1,-3.27217,6.3276,-27.0483,-62.5374,-110.031,-113.33,-250
1,-2.77217,6.3276,-28.2536,-54.1197,-101.293,-102.042,-250
1,-2.27217,6.3276,-27.3949,-58.002,-98.5759,-96.8153,-250
1,-1.77217,6.3276,-46.6474,-53.278,-111.19,-113.325,-250
1,-1.27217,6.3276,-25.5092,-52.5576,-100.891,-104.901,-250
